CodeSite,DateDebut,DateFin,CodePostal,TypeAppareil,Download,Upload,Langue,Latitude,Longitude
PW0163,2019-09-05T15:59:00+02:00,2019-09-05T16:14:00+02:00,75004,Mobile,11205082,1146114,Français,48.8556307839,2.3656584031
PW0175,2019-09-05T16:07:00+02:00,2019-09-05T16:16:00+02:00,75016,Mobile,3883631,657599,Italien,48.8609372147,2.2893499444
PW0009,2019-09-05T16:11:00+02:00,2019-09-05T17:38:00+02:00,75018,Mobile,327937184,19810281,Français,48.8901061541,2.3632099736
PW0045,2019-09-05T16:13:00+02:00,2019-09-05T17:58:00+02:00,75020,Ordinateur,70033760,59680002,Français,48.8598387687,2.4032269985
PW0147,2019-09-05T16:17:00+02:00,2019-09-05T18:06:00+02:00,75010,Ordinateur,58472002,7435981,Français,48.8754298708,2.353666773
PW0169-1,2019-09-05T16:21:00+02:00,2019-09-05T16:22:00+02:00,75013,Mobile,914591,106093,Français,48.8190213359,2.3450952203
PW0009,2019-09-05T16:21:00+02:00,2019-09-05T18:22:00+02:00,75018,Mobile,10614308,2549298,Français,48.8901061541,2.3632099736
PW0157,2019-09-05T16:27:00+02:00,2019-09-05T18:08:00+02:00,75013,Mobile,241958928,17028739,Français,48.8281858231,2.3586267374
PW0125,2019-09-05T16:30:00+02:00,2019-09-05T17:20:00+02:00,75013,Ordinateur,57116724,7918230,Français,48.8273180542,2.341993717
PW0126,2019-09-05T16:33:00+02:00,2019-09-05T16:42:00+02:00,75005,Mobile,10446430,1261571,Français,48.8424935285,2.3496737607
PW0143,2019-09-05T16:39:00+02:00,2019-09-05T16:43:00+02:00,75001,Mobile,10863349,757933,Français,48.8618194855,2.3476439033
PW0045,2019-09-05T16:39:00+02:00,2019-09-05T18:24:00+02:00,75020,Ordinateur,204741752,6771865,Français,48.8598387687,2.4032269985
PW0115,2019-09-05T16:39:00+02:00,2019-09-05T18:13:00+02:00,75005,Mobile,85173450,7940016,Français,48.8393069888,2.3387816735
PW0123,2019-09-05T16:39:00+02:00,2019-09-05T16:48:00+02:00,75004,Mobile,2493030,584242,Français,48.8563193139,2.3517550767
PW0144,2019-09-05T16:40:00+02:00,2019-09-05T17:16:00+02:00,75008,Ordinateur,289566622,33017170,Anglais,48.8492339972,2.4120981583
PW0123,2019-09-05T16:40:00+02:00,2019-09-05T16:46:00+02:00,75004,Mobile,2237131,381402,Anglais,48.8563193139,2.3517550767
PW0143,2019-09-05T16:42:00+02:00,2019-09-05T18:14:00+02:00,75001,Ordinateur,71411930,6530429,Français,48.8618194855,2.3476439033
PW0157,2019-09-05T16:42:00+02:00,2019-09-05T17:07:00+02:00,75013,Mobile,47874076,4288710,Français,48.8281858231,2.3586267374
