CodeSite,DateDebut,DateFin,TempSession,TypeAppareil,Download,Upload,Langue,GeoPoint
PW0163,2019-09-05T15:59:00+02:00,2019-09-05T16:14:00+02:00,901,Mobile,11205082,1146114,Français,48.8556307839,2.3656584031
PW0175,2019-09-05T16:07:00+02:00,2019-09-05T16:16:00+02:00,553,Mobile,3883631,657599,Italien,48.8609372147,2.2893499444
PW0009,2019-09-05T16:11:00+02:00,2019-09-05T17:38:00+02:00,5203,Mobile,327937184,19810281,Français,48.8901061541,2.3632099736
PW0045,2019-09-05T16:13:00+02:00,2019-09-05T17:58:00+02:00,6321,Ordinateur,70033760,59680002,Français,48.8598387687,2.4032269985
PW0147,2019-09-05T16:17:00+02:00,2019-09-05T18:06:00+02:00,6548,Ordinateur,58472002,7435981,Français,48.8754298708,2.353666773
PW0169-1,2019-09-05T16:21:00+02:00,2019-09-05T16:22:00+02:00,64,Mobile,914591,106093,Français,48.8190213359,2.3450952203
PW0009,2019-09-05T16:21:00+02:00,2019-09-05T18:22:00+02:00,7220,Mobile,10614308,2549298,Français,48.8901061541,2.3632099736
PW0157,2019-09-05T16:27:00+02:00,2019-09-05T18:08:00+02:00,6093,Mobile,241958928,17028739,Français,48.8281858231,2.3586267374
PW0125,2019-09-05T16:30:00+02:00,2019-09-05T17:20:00+02:00,2989,Ordinateur,57116724,7918230,Français,48.8273180542,2.341993717
PW0126,2019-09-05T16:33:00+02:00,2019-09-05T16:42:00+02:00,528,Mobile,10446430,1261571,Français,48.8424935285,2.3496737607
PW0143,2019-09-05T16:39:00+02:00,2019-09-05T16:43:00+02:00,266,Mobile,10863349,757933,Français,48.8618194855,2.3476439033
PW0045,2019-09-05T16:39:00+02:00,2019-09-05T18:24:00+02:00,6300,Ordinateur,204741752,6771865,Français,48.8598387687,2.4032269985
PW0115,2019-09-05T16:39:00+02:00,2019-09-05T18:13:00+02:00,5602,Mobile,85173450,7940016,Français,48.8393069888,2.3387816735
PW0123,2019-09-05T16:39:00+02:00,2019-09-05T16:48:00+02:00,530,Mobile,2493030,584242,Français,48.8563193139,2.3517550767
PW0144,2019-09-05T16:40:00+02:00,2019-09-05T17:16:00+02:00,2173,Ordinateur,289566622,33017170,Anglais,48.8492339972,2.4120981583
PW0123,2019-09-05T16:40:00+02:00,2019-09-05T16:46:00+02:00,340,Mobile,2237131,381402,Anglais,48.8563193139,2.3517550767
PW0143,2019-09-05T16:42:00+02:00,2019-09-05T18:14:00+02:00,5537,Ordinateur,71411930,6530429,Français,48.8618194855,2.3476439033
PW0157,2019-09-05T16:42:00+02:00,2019-09-05T17:07:00+02:00,1508,Mobile,47874076,4288710,Français,48.8281858231,2.3586267374
PW0045,2019-09-05T16:44:00+02:00,2019-09-05T17:30:00+02:00,2769,Ordinateur,21025898,2889218,Français,48.8598387687,2.4032269985
PW0070,2019-09-05T16:46:00+02:00,2019-09-05T18:46:00+02:00,7241,Ordinateur,445699824,16816770,Français,48.8562219571,2.3673918201
PW0147,2019-09-05T16:47:00+02:00,2019-09-05T17:50:00+02:00,3804,Ordinateur,61875192,8193135,Français,48.8754298708,2.353666773
PW0143,2019-09-05T16:48:00+02:00,2019-09-05T17:09:00+02:00,1239,Ordinateur,89229004,2608174,Français,48.8618194855,2.3476439033
PW0114,2019-09-05T16:50:00+02:00,2019-09-05T18:51:00+02:00,7258,Ordinateur,356253942,14336113,Chinois simplifié,48.830786809,2.3567544767
PW0057,2019-09-05T16:52:00+02:00,2019-09-05T17:32:00+02:00,2425,Mobile,96684852,5596639,Français,48.8705904639,2.3842377501
PW0111,2019-09-05T16:52:00+02:00,2019-09-05T18:53:00+02:00,7257,Ordinateur,91611570,9783977,Français,48.842546608,2.3618682436
PW0045,2019-09-05T16:55:00+02:00,2019-09-05T18:55:00+02:00,7217,Mobile,96664333,6333833,Français,48.8598387687,2.4032269985
PW0147,2019-09-05T16:56:00+02:00,2019-09-05T17:00:00+02:00,237,Ordinateur,3235915,256758,Français,48.8754298708,2.353666773
PW0147,2019-09-05T16:58:00+02:00,2019-09-05T18:58:00+02:00,7209,Ordinateur,52647187,6344081,Français,48.8754298708,2.353666773
PW0002,2019-09-05T17:01:00+02:00,2019-09-05T19:02:00+02:00,7232,Ordinateur,114532975,225939182,Français,48.8867669709,2.3714730505
PW0024,2019-09-05T17:03:00+02:00,2019-09-05T17:13:00+02:00,611,Ordinateur,16963894,3304088,Français,48.877751384,2.3174864787
PW0050,2019-09-05T17:03:00+02:00,2019-09-05T19:04:00+02:00,7246,Ordinateur,27711471,64887796,Français,48.853423534,2.3591792373
PW0144,2019-09-05T17:08:00+02:00,2019-09-05T17:08:00+02:00,31,Mobile,2894763,379341,Anglais,48.8492339972,2.4120981583
PW0144,2019-09-05T17:18:00+02:00,2019-09-05T19:19:00+02:00,7221,Mobile,53523006,2658590,Anglais,48.8492339972,2.4120981583
PW0002,2019-09-05T17:21:00+02:00,2019-09-05T19:09:00+02:00,6510,Ordinateur,221655353,105516956,Italien,48.8867669709,2.3714730505
PW0132-2,2019-09-05T17:24:00+02:00,2019-09-05T19:25:00+02:00,7253,Ordinateur,468931138,42666086,Français,48.8561383736,2.3559375242
PW0175,2019-09-05T17:25:00+02:00,2019-09-05T17:32:00+02:00,411,Mobile,2681828,387467,Français,48.8609372147,2.2893499444
PW0165-1,2019-09-05T17:31:00+02:00,2019-09-05T17:48:00+02:00,976,Mobile,15956462,1390207,Français,48.8546101225,2.3001906307
PW0054,2019-09-05T17:36:00+02:00,2019-09-05T18:15:00+02:00,2334,Ordinateur,8901655,869953,Français,48.8337666097,2.3258559779
PW0049,2019-09-05T17:44:00+02:00,2019-09-05T19:37:00+02:00,6810,Ordinateur,419822567,16755957,Français,48.8515955528,2.383960071
PW0163,2019-09-05T17:46:00+02:00,2019-09-05T17:52:00+02:00,357,Mobile,460787,242607,Anglais,48.8556307839,2.3656584031
PW0118,2019-09-05T17:47:00+02:00,2019-09-05T19:19:00+02:00,5512,Ordinateur,26646385,7345653,Français,48.8481097373,2.3275943361
PW0165,2019-09-05T17:48:00+02:00,2019-09-05T17:51:00+02:00,170,Mobile,947320,1274814,Anglais,48.8569794103,2.2933390635
PW0045,2019-09-05T17:53:00+02:00,2019-09-05T19:20:00+02:00,5252,Ordinateur,20340002,4481830,Français,48.8598387687,2.4032269985
PW0194,2019-09-05T17:53:00+02:00,2019-09-05T18:11:00+02:00,1078,Mobile,54157839,7121932,Anglais,48.8801112154,2.3672066687
PW0164,2019-09-05T17:54:00+02:00,2019-09-05T18:11:00+02:00,996,Mobile,1789292,307993,Français,48.8744988283,2.3619049385
